Word,Type,Original,Translated
wife,Monoseme,50.69671082680074,79.71160998036075
opportunity,Monoseme,59.04526143504683,92.35391778692926
employee,Monoseme,62.612882343434556,87.8958655202832
dictionary,Monoseme,62.98818912646697,88.0928434401062
income,Monoseme,61.92699818048625,87.06759423742783
artist,Monoseme,61.27254721406015,91.62978914658315
emotion,Monoseme,63.43049324946547,84.79554244135873
equipment,Monoseme,55.35062676958379,83.78916451335422
kitchen,Monoseme,62.13500280501665,88.32695351937396
hotel,Monoseme,61.8198200219928,89.21342458197542
achieve,Monoseme,55.51679261714135,91.54358193570475
enable,Monoseme,59.283511220702984,94.30969789902188
compute,Monoseme,67.54479437501176,87.96942972167444
deserve,Monoseme,62.62178973484557,91.07300528994489
compete,Monoseme,64.23055475309474,88.09318214894567
resemble,Monoseme,72.08509813997128,93.54380158181507
flee,Monoseme,71.48601333315678,88.96825836158303
cooperate,Monoseme,67.05848713911192,89.70695220407572
await,Monoseme,72.84895396525293,93.76323485983829
detect,Monoseme,69.90720727538563,89.77228927127477
control,Inter-class polyseme,63.31974405787532,86.83640428352285
force,Inter-class polyseme,73.25140352398536,89.7716241229751
study,Inter-class polyseme,62.542409415659016,90.40850258766909
work,Inter-class polyseme,66.51212748125462,93.01276627219335
act,Inter-class polyseme,68.44283451752216,86.781007715835
place,Inter-class polyseme,71.98556552137504,88.01201865856893
change,Inter-class polyseme,64.10966319874552,92.64497557583334
plan,Inter-class polyseme,69.1133879936432,90.22585404998539
attempt,Inter-class polyseme,63.54428063485204,89.98370732222966
claim,Inter-class polyseme,68.10429382618224,88.78839006279463
face,Inter-class polyseme,69.21312428185966,90.57485869564198
fire,Inter-class polyseme,61.63745054927986,85.8784750062683
share,Inter-class polyseme,67.275589800722,87.54198885393039
answer,Inter-class polyseme,60.6240255688643,90.04915639390423
record,Inter-class polyseme,66.69251229857244,86.24474674117393
end,Inter-class polyseme,66.14771980941846,84.76528088178091
list,Inter-class polyseme,64.12249523134803,94.75591758921468
result,Inter-class polyseme,71.64087393359645,96.26624267726169
range,Inter-class polyseme,72.33214674911507,92.15491615029853
cost,Inter-class polyseme,61.43584023576415,89.20770989261489
life,Intra-class polyseme,65.9174415304588,89.94877514854596
section,Intra-class polyseme,67.20373487309237,88.97419229790052
thing,Intra-class polyseme,64.38007365190641,85.05513407547367
cell,Intra-class polyseme,63.21189994024404,87.66346615832425
feeling,Intra-class polyseme,62.05769579615256,88.64184038730009
moment,Intra-class polyseme,63.16699875958573,84.8222714529143
job,Intra-class polyseme,61.09821701409849,82.35312598681453
child,Intra-class polyseme,60.57146994093205,88.82495263211091
purpose,Intra-class polyseme,59.23374801944271,86.33843283943428
problem,Intra-class polyseme,58.09839529788398,88.28962499254399
accept,Intra-class polyseme,66.30103001023886,91.17081613960536
come,Intra-class polyseme,63.23727275607964,90.74618340124339
grow,Intra-class polyseme,64.44707795401654,89.71904387170031
recognize,Intra-class polyseme,60.977732114399984,90.78238038153731
appear,Intra-class polyseme,62.23030183925287,96.69762942545901
take,Intra-class polyseme,63.76494606315638,89.88259059350372
think,Intra-class polyseme,58.2541391323166,86.81288855023202
follow,Intra-class polyseme,66.13310405964121,87.61121027404693
serve,Intra-class polyseme,72.50838485074358,89.78561018699548
apply,Intra-class polyseme,68.52286262691457,91.97178391004418
