Word,Type,Original,Translated
wife,Monoseme,84.74325090045984,95.4016735691337
opportunity,Monoseme,72.11822616495176,95.61101594394573
employee,Monoseme,78.2498243539752,86.79841145533489
dictionary,Monoseme,90.02967927435458,87.48208370355137
income,Monoseme,80.15675964289576,90.43605794694673
artist,Monoseme,89.65139694681235,97.6810467622069
emotion,Monoseme,84.60421498895128,88.99623378731769
equipment,Monoseme,82.42004559166371,89.79447025582643
kitchen,Monoseme,84.11028418850198,100.45008285251802
hotel,Monoseme,80.12732578242553,87.02629123667259
achieve,Monoseme,82.33006045747332,101.1588826898664
enable,Monoseme,77.87677838518786,97.86018968257532
compute,Monoseme,90.12627602595249,94.45442541082438
deserve,Monoseme,84.67284059908553,92.59227451108876
compete,Monoseme,100.71815091167899,104.73442719743089
resemble,Monoseme,82.67466785726258,94.49961094441663
flee,Monoseme,85.46683229732682,88.63864584068176
cooperate,Monoseme,87.52997411470952,94.9030341562097
await,Monoseme,89.51985273214014,91.63365745601843
detect,Monoseme,84.03057286123936,93.03532706763579
control,Inter-class polyseme,75.00667336382395,89.30060914678499
force,Inter-class polyseme,79.38878984401933,88.47531917036599
study,Inter-class polyseme,78.32218434983406,90.26209248137164
work,Inter-class polyseme,62.20648153967405,94.05528073701272
act,Inter-class polyseme,83.22818655423593,88.32675941655825
place,Inter-class polyseme,64.3174617116247,83.94501517062234
change,Inter-class polyseme,71.24350220624719,94.00291359595788
plan,Inter-class polyseme,70.82287392411365,85.42446661157298
attempt,Inter-class polyseme,75.17443944241577,97.30700868337799
claim,Inter-class polyseme,80.7942941091292,98.3326064096353
face,Inter-class polyseme,79.47524520644147,93.81368530770274
fire,Inter-class polyseme,81.2258238283897,92.57250387402794
share,Inter-class polyseme,73.84758842775318,88.43715465549701
answer,Inter-class polyseme,71.60284172471788,93.46082009057045
record,Inter-class polyseme,80.70678600665306,91.05451598288266
end,Inter-class polyseme,63.88738507593051,88.5340947160527
list,Inter-class polyseme,75.49551624568693,97.05650927021966
result,Inter-class polyseme,69.56134561068579,95.306432380942
range,Inter-class polyseme,74.45399376539505,93.1215278586672
cost,Inter-class polyseme,75.15170355349548,90.8974253668119
life,Intra-class polyseme,70.81565132359025,85.89297230411641
section,Intra-class polyseme,82.14961743357776,90.81350019414855
thing,Intra-class polyseme,55.918439436177785,88.32357091738902
cell,Intra-class polyseme,90.2850749427004,104.59568729466523
feeling,Intra-class polyseme,76.07626998837726,93.15592356863954
moment,Intra-class polyseme,63.05817022241923,91.67985930878595
job,Intra-class polyseme,78.71180940066004,95.40215853193926
child,Intra-class polyseme,81.748677350752,90.5454563673589
purpose,Intra-class polyseme,68.14072708743595,86.262908601061
problem,Intra-class polyseme,70.93546403984695,93.52620768975149
accept,Intra-class polyseme,74.34593823693886,96.63249795484056
come,Intra-class polyseme,56.985647897369624,87.57668460565398
grow,Intra-class polyseme,81.07144839288651,90.17632980265789
recognize,Intra-class polyseme,74.60962890630546,101.45820191941725
appear,Intra-class polyseme,71.08146668640839,98.66339266695347
take,Intra-class polyseme,58.10608636932817,97.59601622865571
think,Intra-class polyseme,53.517745070442565,94.18631775840223
follow,Intra-class polyseme,78.46492993639579,90.08730571956198
serve,Intra-class polyseme,70.91467735274833,92.35886553353795
apply,Intra-class polyseme,74.51245305250885,87.7897110329113
