Word,Type,Original,Translated
wife,Monoseme,69.80728482094652,89.65630196592623
opportunity,Monoseme,81.75694283419502,86.71588352552229
employee,Monoseme,86.92323009121527,86.46555355505399
dictionary,Monoseme,76.84658799503927,85.1163312845357
income,Monoseme,82.54296147564668,85.64638104185134
artist,Monoseme,77.21334361415872,91.20329511034906
emotion,Monoseme,83.21245978321356,85.98506017749864
equipment,Monoseme,82.76050111773591,84.0275413127846
kitchen,Monoseme,77.37329763888074,89.89699937782693
hotel,Monoseme,77.00406279993885,88.72445691688837
achieve,Monoseme,82.33234854487564,91.48075176638336
enable,Monoseme,83.54054824641992,91.97940943966907
compute,Monoseme,83.98970498899517,92.13162897782726
deserve,Monoseme,87.78478578220378,89.44806159260271
compete,Monoseme,87.7586774924646,86.91862052946902
resemble,Monoseme,81.30747778024974,83.77363949565486
flee,Monoseme,84.9555821288893,88.59778846706423
cooperate,Monoseme,85.52231119184711,88.19462634364926
await,Monoseme,82.58691446347571,85.13070451087246
detect,Monoseme,85.97441602968402,90.39840051410675
control,Inter-class polyseme,89.12328518177165,82.78316880269972
force,Inter-class polyseme,91.83140872066544,80.29262533845119
study,Inter-class polyseme,74.15204836801456,91.61194592855126
work,Inter-class polyseme,85.8596212328911,82.83850833817345
act,Inter-class polyseme,88.18994362603259,86.64330767783417
place,Inter-class polyseme,88.01282809608004,80.74745680351444
change,Inter-class polyseme,85.48004253363675,89.33486582842316
plan,Inter-class polyseme,87.86207241796757,86.92267433708878
attempt,Inter-class polyseme,80.1810978326235,91.13442414427251
claim,Inter-class polyseme,83.94740240106081,86.60455123601416
face,Inter-class polyseme,85.57612932125396,85.30321992629352
fire,Inter-class polyseme,76.30338320394515,84.10121312413409
share,Inter-class polyseme,79.3728813813545,80.30293526973264
answer,Inter-class polyseme,81.8882099361021,90.89483208570681
record,Inter-class polyseme,79.25038599031153,84.74788244818164
end,Inter-class polyseme,88.73676815256195,81.16143213095988
list,Inter-class polyseme,86.93417069351835,87.6133837343263
result,Inter-class polyseme,89.17720948127582,88.76342023621154
range,Inter-class polyseme,85.84651350633851,84.60298779981139
cost,Inter-class polyseme,85.28335306612135,90.7265364470111
life,Intra-class polyseme,85.98294103045355,82.38847176197622
section,Intra-class polyseme,81.674850551493,87.27927142969799
thing,Intra-class polyseme,78.86681655508791,83.74786078562263
cell,Intra-class polyseme,74.71892233756617,82.17583755636332
feeling,Intra-class polyseme,83.62878676849122,88.84012467128528
moment,Intra-class polyseme,84.97054594871801,86.93802779343333
job,Intra-class polyseme,88.03806163179014,84.43431418149439
child,Intra-class polyseme,77.14033335857609,88.78041060601714
purpose,Intra-class polyseme,86.74190005623984,84.64509372230265
problem,Intra-class polyseme,81.49850109968314,86.06174463042363
accept,Intra-class polyseme,83.79036212872708,88.04897708777101
come,Intra-class polyseme,86.25175117015726,85.49935664870719
grow,Intra-class polyseme,85.69047291178121,90.18298614821552
recognize,Intra-class polyseme,86.15003957265687,88.7350244291226
appear,Intra-class polyseme,91.85262357879732,87.69104777955137
take,Intra-class polyseme,88.0162428928661,89.97947513436279
think,Intra-class polyseme,78.17136026972132,96.72144333257398
follow,Intra-class polyseme,88.85961630193799,82.79138135181684
serve,Intra-class polyseme,90.031321825026,88.60148769244117
apply,Intra-class polyseme,87.57133881991483,91.06687690141732
